abc频道,#genre#

深圳卫视,https://tv.cry33.com/shenzhen.php?id=szws
深圳卫视,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=shenzhen
深圳卫视,http://113.109.250.69:9999/rtp/239.77.0.130:5146
深圳都市,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8
深圳都市,https://tv.cry33.com/shenzhen.php?id=szds
深圳都市,http://113.64.145.231:8081/hls/68/index.m3u8
深圳都市,http://113.109.250.69:9999/rtp/239.77.1.176:51
厦门卫视,http://gmxw.7766.org:808/hls/17/index.m3u8
厦门卫视,http://www.8700956.top:18888/rtp/239.81.1.053:4056
厦门卫视,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=xiamen
厦门卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?IAS
湖南都市,http://222.241.154.37:9901/tsfile/live/23021_1.m3u8
湖南卫视,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=hunws
湖南卫视,http://live.nctv.top/886/cqyx.php?token=&id=hunws
湖南卫视,http://183.92.4.163:4000/udp/228.0.0.61:6108
湖南卫视,http://111.14.181.15:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8
TVBS新聞,https://www.4gtv.tv/channel/4gtv-4gtv072?set=1&ch=291
TVBS新闻,mitv://generationnexxxt.com:19806/6a155a5d7bea461b980b4fa559119a60
三立新聞,https://www.4gtv.tv/channel/4gtv-live089?set=1&ch=229
三立新闻,mitv://generationnexxxt.com:19806/9388262af2604cc798800736d070d39e
东森新闻台,mitv://generationnexxxt.com:19806/e1a899eded4d48578084c61957fb8c2b
台视新闻台,mitv://generationnexxxt.com:19806/9817b59742464113bd5656fcc7dced84
中天新闻台,mitv://generationnexxxt.com:19806/bd9064ee198045a386f1f2dba5073f4e
tvN,mitv://generationnexxxt.com:19806/5653c9fb655842ee99b4590ff903efe7
翡翠,http://free.9528.eu.org:9529/stream/hk/test/master.m3u8?u=admin&p=70db29aeaebf312fd2b93d3d69d99a16ad3319d0b354567f2be5c5e91c6be18b
爆谷影星台,http://dev.9528.eu.org/xvx.xx6868.online/bg-xy/stream/dc988679d0a93ab3ca49a52a4c5e6571/index.m3u8?token=5bd747bfebe8783df15e2fd5ae6bb4d4

博斯网球免翻aws,http://aws.5201972.xyz:5678/litv.php?id=litv-longturn09
魅力台免翻serv,https://ohjust.serv00.net/litv.php?id=litv-longturn04
博斯無限台,https://www.sv6-douyin-cloudfare.cloudns.ch/4gtv.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=litv-longturn10
緯來體育,mitv://generationnexxxt.com:19806/79090c69d43040148deaa21d5e26c32a
緯來體育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
緯來體育,rtmp://220.130.201.73/sat/tv721
緯來體育,http://125.227.210.55:8155/VideoInput/play.ts
纬来体育,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=videoland-sport
NBA,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=nba
ESPN,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=espn


民视旅游,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=ftv-travel
Globetrotter 環遊旅行家,https://www.4gtv.tv/channel/4gtv-4gtv016?set=1&ch=288
愛爾達生活旅遊台,https://www.4gtv.tv/channel/4gtv-live120?set=1&ch=237
EYE 旅游台,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=eye-travel
ELTA 生活旅游台,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=elta-lifetravel
TLC 旅游生活頻道,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=tlc
旅游生活,https://v9-douyin-cloudflare-cdn.sv6-douyin-cloudfare.cloudns.ch/Smartv.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=tlc_twn
亚洲旅游,https://v9-douyin-cloudflare-cdn.sv6-douyin-cloudfare.cloudns.ch/Smartv.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=asiatravel_twn
亞洲旅遊,https://www.4gtv.tv/channel/litv-longturn17?set=1&ch=250
亚洲旅游,mitv://135.148.104.228:19806/259c24cb79ce4b5db1fb1e1b894c517e
EYE TV旅游台,mitv://135.148.104.228:19806/2d426994acef44deb401aa8a4cd5a92e
食尚玩家,http://125.227.210.55:8187/VideoInput/play.ts
食尚玩家,https://www.ofiii.com/channel/watch/ofiii31
原住民族電視台,mitv://135.148.104.228:19806/cb5b7549e3604100a605ca17c82808f5
原住民族電視台,https://www.ipcf.org.tw/zh-TW/Vod/Home
原住民族電視台,http://61.224.69.212:9088/udp/224.1.4.76:11111
原住民族電視台,http://61.224.69.212:9088/udp/230.1.2.235:11111
原住民族電視台,video://https://www.4gtv.tv/channel/4gtv-live014?set=1&ch=22
客家电视台,mitv://135.148.104.228:19806/eafabb6e7c30439b8ecd35ad40a46a96
客家电视台,http://debian.52sw.top:678/play/tz/litv2.php?id=4gtv-4gtv043
客家电视台,https://www.4gtv.tv/channel/4gtv-4gtv043?set=1&ch=107
客家电视台,http://61.224.69.212:9088/udp/224.1.4.17:11111
客家电视台,http://61.224.69.212:9088/udp/224.1.4.201:11111
客家电视台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv043
客家电视台,https://www.sv6-douyin-cloudfare.cloudns.ch/histar.php?key=7cf3d5ebf95f092bf6e4c2667458fa59&id=hakkatv
歌舞伎町 ライブ ちゃんねる『 Kabukicho Live Channel 』,https://www.youtube.com/watch?v=DjdUEyjx8GM
歌舞伎町 ライブ ちゃんねる 2『 Kabukicho Live Channel II 』,https://www.youtube.com/watch?v=gFRtAAmiFbE
台北觀光即時影像 ,https://www.youtube.com/watch?v=z_fY1pj1VBw
Taipei台北觀光即時影像 ,https://www.youtube.com/watch?v=Ndo_8RuefH4
Sydney Live Camera,https://www.youtube.com/watch?v=sWWCy2WCjRA



免子臺,http://z88.ubtvfans.com/live/rx3/411/9bb448cd18b0d29aa46c24c9286c4d29/index.m3u8
松視2,http://z88.ubtvfans.com/live/rx3/403/169cf37c3b80aa73066703f16f161f7d/index.m3u8
松視3,http://z88.ubtvfans.com/live/rx3/404/f879380802739b846ed31d934c19b4de/index.m3u8
🍌香蕉臺,http://125.227.210.55:8159/VideoInput/play.ts
👅奧視🔞3,http://125.227.210.55:8917/VideoInput/play.ts
🔮奧視2,http://125.227.210.55:55643/VideoInput/play.ts
💖Sex ❌Girl,http://125.227.210.55:62698/VideoInput/play.ts
松視1,http://z88.ubtvfans.com/live/rx3/402/2d5f45ef7b7b90e9b47c6963be6d5120/index.m3u8
驚艷臺,http://125.227.210.55:8156/VideoInput/play.ts
玩美臺,http://z88.ubtvfans.com/live/rx3/410/65c496a8a32fe34c9af6b1dce9988f28/index.m3u8
彩虹k,http://z88.ubtvfans.com/live/rx3/415/24833f79298189b7d1b60e9d59af0018/index.m3u8
彩虹E,http://z88.ubtvfans.com/live/rx3/406/6a7f30cbbe921e9a6809d4a8c131aef1/index.m3u8
ATION,http://z88.ubtvfans.com/live/rx3/459/3193839f524da42b740386d2b88754ca/index.m3u8
潘多拉,http://18.svi-studio.com/live/176619383282/537544338952/3.m3u8



.youtube直播,#genre#
台视新闻台HD,https://www.youtube.com/live/xL0ch83RAK8
中視新聞 HD直播頻道｜Taiwan CTV news HD Live,https://www.youtube.com/watch?v=TCnaIE_SAtM
華視新聞 CH52,https://www.youtube.com/live/wM0g8EoUZ_E
東森新聞,https://www.youtube.com/watch?v=R2iMq5LKXco&ab_channel=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9ECH51
東森新聞 CH51,https://www.youtube.com/watch?v=khuZW5GdBXo&ab_channel=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9ECH51
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
中天深喉嚨,https://www.youtube.com/watch?v=WPfPjbOLNfE
民視新聞網 Formosa TV News network,https://www.youtube.com/watch?v=ylYJSBUgaMA
新唐人亞太電視台NTDAPTV,https://www.youtube.com/watch?v=WIhgU_mc05A
公視新聞網,https://www.youtube.com/watch?v=quwqlazU-c8

寰宇新闻台,https://www.youtube.com/live/6IquAgfvYmc
寰宇新闻台湾台,https://www.youtube.com/live/w87VGpgd90U
TVBS NEWS,https://www.youtube.com/live/m_dhMSvUCIc
TVBS新聞,https://www.youtube.com/live/2mCSYvcfhtc
中天新闻,https://www.youtube.com/live/oIgbl7t0S_w
三立live新闻,https://www.youtube.com/live/oZdzzvxTfUY
三立新聞,https://www.youtube.com/live/FoBfXvlOR6I

DW德國之聲,https://youtu.be/tZT2MCYu6Zw
HTB北海道,https://www.youtube.com/live/d8CrKBU99Hg
ABC News,https://www.youtube.com/live/-mvUkiILTqI
NASA TV,https://www.youtube.com/live/21X5lGlDOfg
NASA Live,https://www.youtube.com/live/nA9UZF-SZoQ
Euronews English,https://www.youtube.com/live/pykpO5kQJ98
GB News,https://www.youtube.com/live/8WX6YL9JnLw





.央视频道,#genre#

CCTV1,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv1
CCTV2,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv2
CCTV3,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv3
CCTV4,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv4
CCTV5,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv5
CCTV5+,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv5p
CCTV6,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv6
CCTV7,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv7
CCTV8,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv8
CCTV9,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv9
CCTV10,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv10
CCTV11,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv11
CCTV12,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv12
CCTV13,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv13
CCTV14,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv14
CCTV15,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv15
CCTV16,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv16
CCTV17,http://zy.otioi.cn/live/cqyx.php?token=Xaeu2RIs&id=cctv17

CCTV4K,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-4K-HD/G_CCTV-4K-HD.m3u8
CCTV4K,http://live.nctv.top/8/bestv.php?id=cctv4k
CCTV16,https://itv.lat/tv/live.php?&line=1&id=cctv164k
CCTV8K,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k
CCTV8K,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k
CCTV16,https://tv.cry33.com/ys4k.php?id=16-4k


CCTV1,mitv://generationnexxxt.com:19806/1a50835e80564ba8ae28fce9bb7f228f
CCTV1,mitv://generationnexxxt.com:19806/f1e3bc8a344e49dab603272c8fd2641e
CCTV2,mitv://generationnexxxt.com:19806/ce08ee69cea5402c99bf285704eac3e5
CCTV3,mitv://generationnexxxt.com:19806/784f6703531044be9cee14b793948d30
CCTV4,mitv://generationnexxxt.com:19806/50c3e18e04bf478db59251455cf3d309
CCTV5,mitv://generationnexxxt.com:19806/7d00bdeddb6c422796e62ae9e8b9398d
CCTV5+,mitv://generationnexxxt.com:19806/5b390808c064415fa55fa30feb8788ff
CCTV5+,mitv://generationnexxxt.com:19806/65a531aa00057c26dd8d1ccf196a034e
CCTV6,mitv://generationnexxxt.com:19806/3ec70c48b2024e4f9210169aec2914c7
CCTV7,mitv://generationnexxxt.com:19806/e70ef03e57794075962ec3960df5b167
CCTV8,mitv://generationnexxxt.com:19806/65a52e1d00012b4cdd7f3cee366e723b
CCTV8,mitv://generationnexxxt.com:19806/7c422f17b94c47928316bba288c64a25
CCTV9,mitv://generationnexxxt.com:19806/1d25488429514e78ab4d100819bece3e
CCTV9,mitv://generationnexxxt.com:19806/65a52e1d0007b3b6dd7f3e945c727248
CCTV10,mitv://generationnexxxt.com:19806/65a52e1d000c0c0bdd7f3fad13ad7f10
CCTV10,mitv://generationnexxxt.com:19806/db6e0eae415d4d3c80389e51f8aac382
CCTV11,mitv://generationnexxxt.com:19806/65a52e1e0002f04bdd7f414333117e01
CCTV11,mitv://generationnexxxt.com:19806/aed547d30ca64a089f9b9adad8d9ee91
CCTV12,mitv://generationnexxxt.com:19806/65a52e1e0008b4e1dd7f42ba38ef4a02
CCTV12,mitv://generationnexxxt.com:19806/70a7e5f93ab14d978706c237fe142277
CCTV13,mitv://generationnexxxt.com:19806/65a52dc0000d93bbdd7dd4d235813afb
CCTV13,mitv://generationnexxxt.com:19806/89e640d10d2646d3b7580c9bd85e9565
CCTV14,mitv://generationnexxxt.com:19806/5ce5a7ff03b541cc8ef405312b4fec09
CCTV14,mitv://generationnexxxt.com:19806/65a52dc1000332e5dd7dd60b29277892
CCTV15,mitv://generationnexxxt.com:19806/65a52dc10008dffbdd7dd78215274e95
CCTV15,mitv://generationnexxxt.com:19806/8914df6967f546eb8cf20ea35946ad8d
CCTV16,mitv://generationnexxxt.com:19806/65a614e0000be91ae104b1833fc057ba
CCTV17,mitv://generationnexxxt.com:19806/65a614e00004fec6e104afbe58b32445

CCTV1,http://live.nctv.top/886/cqyx.php?token=&id=cctv1
CCTV2,http://live.nctv.top/886/cqyx.php?token=&id=cctv2
CCTV3,http://live.nctv.top/886/cqyx.php?token=&id=cctv3
CCTV4,http://live.nctv.top/886/cqyx.php?token=&id=cctv4
CCTV5,http://live.nctv.top/886/cqyx.php?token=&id=cctv5
CCTV5+,http://live.nctv.top/886/cqyx.php?token=&id=cctv5p
CCTV6,http://live.nctv.top/886/cqyx.php?token=&id=cctv6
CCTV7,http://live.nctv.top/886/cqyx.php?token=&id=cctv7
CCTV8,http://live.nctv.top/886/cqyx.php?token=&id=cctv8
CCTV9,http://live.nctv.top/886/cqyx.php?token=&id=cctv9
CCTV10,http://live.nctv.top/886/cqyx.php?token=&id=cctv10
CCTV11,http://live.nctv.top/886/cqyx.php?token=&id=cctv11
CCTV12,http://live.nctv.top/886/cqyx.php?token=&id=cctv12
CCTV13,http://live.nctv.top/886/cqyx.php?token=&id=cctv13
CCTV14,http://live.nctv.top/886/cqyx.php?token=&id=cctv14
CCTV15,http://live.nctv.top/886/cqyx.php?token=&id=cctv15
CCTV16,http://live.nctv.top/886/cqyx.php?token=&id=cctv16
CCTV17,http://live.nctv.top/886/cqyx.php?token=&id=cctv17









第一剧场,http://doityoume.x3322.net:5100/rtp/239.69.1.74:10084
第一剧场,http://www.akw323.com:9527/rtp/238.255.2.25:5999
兵器科技,http://doityoume.x3322.net:5100/rtp/239.69.1.79:10114
兵器科技,http://www.akw323.com:9527/rtp/238.255.2.34:5999
风云足球,http://doityoume.x3322.net:5100/rtp/239.69.1.81:10126
风云足球,http://www.akw323.com:9527/rtp/238.255.2.29:5999
网球网球,http://doityoume.x3322.net:5100/rtp/239.69.1.83:10138
网球网球,http://www.akw323.com:9527/rtp/238.255.2.223:5999
老故事,http://doityoume.x3322.net:5100/rtp/239.69.1.85:10150
老故事,http://www.akw323.com:9527/rtp/238.255.2.35:5999
电视指南,http://doityoume.x3322.net:5100/rtp/239.69.1.87:10162
怀旧剧场,http://doityoume.x3322.net:5100/rtp/239.69.1.89:10174
怀旧剧场,http://www.akw323.com:9527/rtp/238.255.2.33:5999
风云音乐,http://doityoume.x3322.net:5100/rtp/239.69.1.90:10180
风云音乐,http://www.akw323.com:9527/rtp/238.255.2.24:5999
世界地理,http://doityoume.x3322.net:5100/rtp/239.69.1.91:10186
世界地理,http://www.akw323.com:9527/rtp/238.255.2.26:5999
央视台球,http://doityoume.x3322.net:5100/rtp/239.69.1.98:10224
书画频道,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel11009/index.m3u8



CCTV1,http://222.223.118.222:2180/live/cctv1/index.m3u8
CCTV2,http://222.223.118.222:2180/live/cctv2/index.m3u8
CCTV3,http://222.223.118.222:2180/live/cctv3/index.m3u8
CCTV4,http://222.223.118.222:2180/live/cctv4/index.m3u8
CCTV5,http://222.223.118.222:2180/live/cctv5/index.m3u8
CCTV5+,http://222.223.118.222:2180/live/cctv5q/index.m3u8
CCTV6,http://222.223.118.222:2180/live/cctv6/index.m3u8
CCTV7,http://222.223.118.222:2180/live/cctv7/index.m3u8
